is_canceled,deposit_type,previous_cancellations,lead_time,total_of_special_requests,different_room_assigned,market_segment,required_car_parking_spaces,distribution_channel,hotel,customer_type,previous_bookings_not_canceled,is_repeated_guest,country_PRT,country_other,treatment_control,accept_offer,new_lead_time
0,No Deposit,0,289,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,289
0,Non Refund,1,327,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,treatment,1,73
0,No Deposit,0,445,1,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,67
1,Non Refund,0,277,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,1,55
1,Non Refund,0,350,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,350
1,Non Refund,1,304,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,304
1,No Deposit,1,265,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,0,265
0,No Deposit,0,542,0,1,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,542
1,Non Refund,0,405,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,405
0,No Deposit,0,189,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,189
1,Non Refund,0,447,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,447
1,Non Refund,0,468,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,468
0,No Deposit,0,386,0,0,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,386
0,No Deposit,0,215,1,1,Groups,0,Corporate,City Hotel,Transient,0,0,0,1,treatment,1,68
0,No Deposit,0,364,0,0,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,0,1,control,0,364
0,Non Refund,0,443,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,1,73
1,Non Refund,1,241,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,241
0,No Deposit,0,336,0,1,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,65
0,No Deposit,0,241,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,241
1,Non Refund,1,247,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,0,1,control,0,247
1,No Deposit,1,468,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,control,0,468
1,Non Refund,1,332,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,0,332
1,Non Refund,1,395,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,395
1,Non Refund,1,311,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,311
1,No Deposit,0,292,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,control,0,292
0,No Deposit,0,383,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,73
1,Non Refund,0,302,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,302
0,No Deposit,0,257,0,0,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,65
1,Non Refund,0,629,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,629
1,Non Refund,1,259,0,0,Groups,0,Corporate,Resort Hotel,Transient,0,0,0,1,control,0,259
1,Non Refund,0,183,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,1,0,treatment,0,183
0,No Deposit,0,195,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,195
1,Non Refund,0,405,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,405
1,Non Refund,0,457,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,457
1,Non Refund,1,359,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,359
0,No Deposit,0,236,0,1,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,236
1,Non Refund,0,337,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,337
0,No Deposit,0,386,0,1,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,61
1,Non Refund,1,311,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,0,311
1,Non Refund,0,201,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,1,0,control,0,201
1,Non Refund,1,299,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,treatment,0,299
1,Non Refund,0,437,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,437
1,Non Refund,0,267,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,267
1,Non Refund,0,251,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,251
1,Non Refund,0,286,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,286
0,No Deposit,0,213,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,213
0,No Deposit,0,244,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,244
0,Refundable,0,385,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,treatment,1,53
1,Non Refund,0,450,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,450
0,No Deposit,0,364,1,0,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,0,1,control,0,364
1,Non Refund,0,181,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,181
1,Non Refund,1,259,0,0,Groups,0,Corporate,Resort Hotel,Transient,0,0,0,1,control,0,259
1,Non Refund,0,183,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,1,0,treatment,0,183
1,Non Refund,0,232,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,1,0,control,0,232
1,No Deposit,1,337,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,337
0,No Deposit,0,202,1,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,202
0,No Deposit,0,318,0,0,Groups,0,Direct,Resort Hotel,Transient,0,0,0,1,treatment,1,64
1,No Deposit,0,239,0,0,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,1,0,control,0,239
1,Non Refund,1,276,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,276
1,Non Refund,1,344,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,344
1,No Deposit,0,286,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,286
1,Non Refund,0,186,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,186
0,Non Refund,0,277,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,1,66
1,Non Refund,1,300,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,1,73
1,No Deposit,0,383,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,treatment,0,383
1,Non Refund,0,240,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,240
1,Non Refund,0,215,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,215
1,Non Refund,0,350,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,350
1,Non Refund,1,339,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,0,339
1,Non Refund,0,475,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,475
0,No Deposit,0,203,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,203
1,Non Refund,1,342,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,342
0,No Deposit,0,225,0,1,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,225
1,Non Refund,0,433,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,433
1,Non Refund,0,391,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,391
1,Non Refund,0,201,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,201
0,No Deposit,0,386,0,0,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,386
1,Non Refund,1,321,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,control,0,321
0,Non Refund,1,395,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,1,63
1,No Deposit,0,422,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,treatment,0,422
0,Non Refund,0,229,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,1,69
1,Non Refund,1,342,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,342
0,No Deposit,0,226,1,1,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,0,1,treatment,0,226
1,Non Refund,0,281,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,281
1,Non Refund,1,342,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,1,55
0,No Deposit,0,336,0,0,Groups,1,Direct,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,57
1,Non Refund,0,198,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,198
0,No Deposit,0,316,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,0,1,control,0,316
1,Non Refund,1,344,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,344
0,No Deposit,0,316,0,1,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,0,1,control,0,316
1,No Deposit,1,330,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,330
0,No Deposit,0,342,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,342
1,No Deposit,1,281,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,treatment,0,281
0,No Deposit,0,271,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,271
0,No Deposit,0,197,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,197
1,Non Refund,0,386,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,386
1,Non Refund,0,323,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,1,0,control,0,323
0,No Deposit,0,214,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,treatment,1,63
1,Non Refund,0,398,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,398
0,No Deposit,0,257,0,0,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,control,0,257
0,No Deposit,0,316,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,316
0,No Deposit,0,414,1,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,0,1,treatment,0,414
0,No Deposit,0,190,0,0,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,control,0,190
1,Non Refund,0,277,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,277
0,No Deposit,0,198,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,198
1,Non Refund,0,266,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,266
0,No Deposit,0,203,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,203
1,Non Refund,1,323,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,323
0,Non Refund,0,277,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,1,54
0,No Deposit,0,316,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,316
1,Non Refund,1,327,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,treatment,0,327
1,Non Refund,1,293,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,control,0,293
1,Non Refund,0,622,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,622
1,Non Refund,1,304,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,304
0,No Deposit,0,225,0,1,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,73
1,No Deposit,1,274,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,treatment,0,274
0,No Deposit,0,283,0,0,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,283
0,No Deposit,0,225,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,0,1,treatment,0,225
1,Non Refund,1,414,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,414
1,No Deposit,0,316,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,316
0,Refundable,0,287,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,69
1,Non Refund,0,391,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,391
0,No Deposit,0,240,1,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,0,1,control,0,240
0,No Deposit,0,215,0,1,Groups,0,Corporate,City Hotel,Transient,0,0,0,1,treatment,0,215
0,No Deposit,0,211,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,211
0,Refundable,0,339,0,0,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,control,0,339
0,No Deposit,0,226,0,1,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,0,1,control,0,226
0,No Deposit,0,429,0,1,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,0,1,treatment,0,429
1,Non Refund,0,254,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,254
0,No Deposit,0,203,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,treatment,0,203
0,No Deposit,0,448,1,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,0,1,treatment,0,448
0,No Deposit,0,225,0,0,Groups,1,Direct,Resort Hotel,Transient-Party,0,0,0,1,control,0,225
1,Non Refund,0,426,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,426
1,Non Refund,0,405,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,405
1,No Deposit,0,189,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,treatment,0,189
1,Non Refund,0,408,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,408
1,Non Refund,0,295,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,295
0,No Deposit,0,285,1,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,0,1,treatment,0,285
1,Non Refund,1,341,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,treatment,0,341
0,No Deposit,0,336,0,0,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,control,0,336
0,No Deposit,0,233,0,1,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,0,1,control,0,233
1,Non Refund,0,219,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,219
1,No Deposit,0,196,0,1,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,control,0,196
1,Non Refund,0,309,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,309
1,Non Refund,0,247,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,247
0,No Deposit,0,235,1,1,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,0,1,control,0,235
1,Non Refund,0,433,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,433
0,No Deposit,0,191,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,67
1,Non Refund,0,247,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,247
1,Non Refund,0,489,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,489
1,No Deposit,1,281,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,281
1,No Deposit,1,276,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,0,276
1,Non Refund,0,288,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,288
1,Non Refund,1,278,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,treatment,0,278
1,Non Refund,0,405,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,405
1,Non Refund,0,464,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,464
1,Non Refund,1,294,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,294
0,No Deposit,0,193,0,0,Groups,0,Corporate,City Hotel,Transient-Party,0,0,0,1,control,0,193
1,Non Refund,0,391,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,391
1,Non Refund,0,277,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,1,0,control,0,277
0,Non Refund,0,219,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,1,68
1,No Deposit,24,244,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,244
1,Non Refund,0,461,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,461
